סמל היישוב,שם יישוב,"ממוצע תלמידים לכיתה בבתי ספר יסודיים תשע""ט 2018/19","אחוז תלמידים נושרים סה""כ תשע""ט 2018/19","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ט 2018/19","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תשע""ט 2018/19","השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35 תש""ף 2019/20","השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב תש""ף 2019/20","השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה תש""ף 2019/20",עובדי הוראה מספר עובדי הוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
"8,600",רמת גן,27.33,0.99,83.9,79.65,42.17,51.6,3.87,"2,150",43.21,12.45,2.49
"2,650",רמת השרון,25.77,1.24,79.26,74.58,55.9,58.3,3.07,"1,028",43.39,9,3.28
122,רמת ישי,30.32,0.44,79.8,75.76,52.18,..,4.76,80,37.5,20.69,1.43
"8,700",רעננה,27.25,1.19,87.75,83.76,43.8,55.8,3.54,"1,479",42.87,10.28,2.99
913,שבלי - אום אל-גנם,24.93,6.19,56.25,45.83,11.03,..,2.26,159,43.4,12.46,2.55
"1,286",שגב-שלום,27.15,6.92,36.41,30.98,7.6,12.2,1.3,464,26.08,6.7,5.16
"1,031",שדרות,22.94,0.73,78.44,69.46,17.65,34.2,3.99,524,29.39,10.17,3.06
"1,304",שוהם,26.4,0.35,91.91,88.8,59.41,64.8,5.97,429,48.95,12.38,2.57
812,שלומי,27.6,..,66,54,16.21,..,2.11,114,36.84,12.91,2.51
538,שעב,23.58,2.82,51.24,36.36,9.96,..,2.9,159,34.59,11.48,2.99
"8,800",שפרעם,25.99,1.83,56.5,48.15,11.31,27.6,2.45,789,40.43,12.12,2.65
"5,000",תל אביב -יפו,26.59,1.31,74.39,67.79,44.63,44.9,4.78,"6,444",37.21,9.7,3.11
154,תל מונד,27.88,0.59,91.48,86.3,53.31,54.8,3.56,290,42.41,12.23,2.45
"1,054",תל שבע,26.41,3.1,40.58,23.06,7.39,11.2,1.59,669,19.73,10.36,3.24
